Claim_ID,Contact_ID,Customer_ID,State,Region,Reserve_Amount,Loss_Date,Reported_Date,First_Contact_Date,Closed_Date,Days_To_First_Contact,Cycle_Time_Days,Inbound_Calls,Avg_Hold_Time_,Transfer_Count,Documentation_Error,Escalated,Claim_Complexity,Adjuster_ID,Adjuster_Level,Team,Quality_Score,Customer_Satisfaction_Score
CLM-2025-00048,CNT-100048,CUST-33222,NM,Southwest,"$10,641.00 ",5/31/2025,6/1/2025,6/1/2025,6/28/2025,0,27,4,3.42,0,No,No,Medium,ADJ-1040,Standard,Team Echo,94.2,7.1
CLM-2025-00049,CNT-100049,CUST-85069,CA,West,"$16,010.72 ",8/12/2025,8/12/2025,8/14/2025,9/25/2025,2,44,4,4.30,1,Yes,No,Low,ADJ-1060,Standard,Team Team Central,89.4,6.6
CLM-2025-00050,CNT-100050,CUST-57759,GA,Southeast,"$7,168.53 ",10/7/2025,10/11/2025,10/14/2025,11/13/2025,3,33,4,4.40,0,No,Yes,Medium,ADJ-1034,Standard,Team Team Alpha,85.8,6.4
CLM-2025-00051,CNT-100051,CUST-85331,AZ,Southwest,"$5,331.14 ",9/26/2025,9/30/2025,10/1/2025,10/23/2025,-1,23,2,1.77,0,No,No,Low,ADJ-1073,Standard,Team Gamma,94.8,7.8
CLM-2025-00052,CNT-100052,UNKNOWN,TX,South Central,"$2,514.69 ",10/30/2025,10/31/2025,,N/A,2,-4,5,6.00,2,No,No,High,ADJ-1068,Trainee,Team Team Alpha,90.2,5.5
CLM-2025-00053,CNT-100053,CUST-19797,GA,Southeast,"$2,352.03 ",11/22/2025,11/22/2025,11/22/2025,11/28/2025,0,6,3,3.32,N/A,No,No,Low,ADJ-1036,Standard,Team Gamma,91.2,8.1
CLM-2025-00054,CNT-100054,CUST-59302,OR,West,"$1,502.77 ",9/8/2025,9/12/2025,9/14/2025,9/20/2025,2,8,3,1.79,0,No,No,Low,ADJ-1049,Specialist,Team SouthTeam West,98.3,7.2
CLM-2025-00055,CNT-100055,CUST-31396,GA,Southeast,"$7,844.35 ",12/3/2025,12/6/2025,12/5/2025,12/26/2025,-1,20,4,2.90,2,No,No,Medium,ADJ-1051,Trainee,Team SouthTeam West,90.4,7.3
CLM-2025-00056,CNT-100056,CUST-86586,NM,Southwest,"$6,507.50 ",3/21/2025,3/24/2025,3/24/2025,4/24/2025,0,31,1,3.09,0,No,No,Low,ADJ-1062,Standard,Team Team West,96.7,7.9
CLM-2025-00057,CNT-100057,CUST-65856,UT,Mountain,"$1,343.33 ",3/2/2025,3/5/2025,3/7/2025,3/6/2025,2,1,1,,1,No,No,Low,ADJ-1073,Standard,Team Team West,95.7,9.9
CLM-2025-00058,CNT-100058,CUST-39710,NV,Southwest,$797.36 ,9/14/2025,9/17/2025,9/19/2025,9/24/2025,2,7,1,,0,No,No,Low,ADJ-1080,Trainee,Team Beta,86.6,9.3
CLM-2025-00059,CNT-100059,CUST-56097,WA,West,"$1,447.93 ",10/30/2025,11/1/2025,11/2/2025,11/25/2025,1,24,2,4.07,1,Yes,Yes,High,ADJ-1072,Standard,Team Gamma,85.3,6.4
CLM-2025-00060,CNT-100060,CUST-96187,FL,Southeast,$981.27 ,8/22/2025,8/24/2025,8/26/2025,9/4/2025,2,11,1,2.07,1,No,Yes,Low,ADJ-1079,Senior,Team Team Alpha,91.3,7
CLM-2025-00061,CNT-100061,CUST-87964,IL,Midwest,"$2,009.06 ",5/18/2025,5/18/2025,5/18/2025,5/28/2025,0,10,1,0.89,0,No,Yes,Low,ADJ-1079,Senior,Team Beta,95,8.4
CLM-2025-00062,CNT-100062,CUST-11389,NV,Southwest,"$3,428.28 ",7/10/2025,7/12/2025,7/13/2025,8/11/2025,1,30,3,3.54,2,No,No,High,ADJ-1034,Specialist,Team Beta,88.4,4.8
CLM-2025-00063,CNT-100063,CUST-48729,TX,South Central,"$16,566.22 ",8/10/2025,8/10/2025,8/14/2025,10/3/2025,4,54,6,3.62,1,No,No,Medium,ADJ-1008,Senior,Team Echo,92.3,6.8
CLM-2025-00064,CNT-100064,CUST-11332,OR,West,"$1,785.63 ",1/17/2025,1/19/2025,1/20/2025,2/1/2025,1,13,2,3.86,0,No,No,Medium,ADJ-1021,Standard,Team Gamma,92.9,6.4
CLM-2025-00065,CNT-100065,CUST-79747,IL,Midwest,"$5,788.14 ",11/23/2025,11/26/2025,11/27/2025,12/6/2025,1,10,2,2.70,1,No,No,Medium,ADJ-1059,Standard,Team Beta,95.1,6.8
CLM-2025-00066,CNT-100066,CUST-40528,OR,West,"$2,935.00 ",8/15/2025,8/15/2025,8/17/2025,9/9/2025,2,25,6,5.48,2,No,No,Medium,ADJ-1080,Standard,Team Gamma,96.4,6.9
CLM-2025-00067,CNT-100067,CUST-38126,TX,South Central,"$5,714.68 ",2/2/2025,2/4/2025,2/8/2025,3/11/2025,4,35,N/A,5.32,2,No,No,High,ADJ-1076,Trainee,Team SouthTeam West,85.7,4
CLM-2025-00068,,CUST-97900,CA,West,"$18,559.20 ",1/6/2025,1/6/2025,1/8/2025,2/23/2025,2,48,5,5.14,2,No,Yes,High,ADJ-1003,Specialist,Team Delta,90.4,6.3
CLM-2025-00069,CNT-100069,CUST-28825,TX,South Central,,7/20/2025,7/20/2025,7/22/2025,7/27/2025,N/A,7,2,5.30,1,No,No,Low,ADJ-1032,Standard,Team Team Central,96.5,6.5
CLM-2025-00070,CNT-100070,CUST-96173,OR,West,"$1,934.76 ",12/30/2025,1/3/2026,1/4/2026,1/24/2026,,21,3,2.89,1,No,No,Medium,ADJ-1047,Standard,Team Beta,91.2,7.5
CLM-2025-00071,CNT-100071,CUST-88170,NV,Southwest,"$4,053.00 ",2/21/2025,2/24/2025,2/26/2025,3/26/2025,2,30,4,3.65,1,No,No,Medium,ADJ-1052,Senior,Team Delta,98,6
CLM-2025-00072,CNT-100072,CUST-19382,AZ,Southwest,"$6,557.17 ",12/28/2025,12/29/2025,12/31/2025,1/29/2026,2,31,3,3.16,2,No,,Medium,ADJ-1001,Senior,Team Team West,98.5,6.7
CLM-2025-00073,CNT-100073,CUST-88173,IL,Midwest,"$2,264.00 ",10/28/2025,10/29/2025,10/29/2025,10/30/2025,0,1,N/A,3.55,0,No,,Low,ADJ-1008,Standard,Team Team Alpha,98.1,7.2
CLM-2025-00074,CNT-100074,CUST-40591,AZ,Southwest,"$1,399.34 ",13/32/2025,10/4/2025,10/6/2025,10/11/2025,2,7,3,4.67,1,No,Yes,Medium,ADJ-1056,Trainee,Team Team West,84.6,5.1
CLM-2025-00075,CNT-100075,CUST-90451,CA,West,"$2,174.62 ",5/15/2025,5/15/2025,5/18/2025,5/24/2025,3,9,3,3.36,1,No,Yes,Low,ADJ-1044,,Team Beta,86.7,5.7
CLM-2025-00076,CNT-100076,CUST-84140,NV,Southwest,$849.32 ,6/29/2025,7/1/2025,7/1/2025,7/4/2025,0,3,1,2.74,0,No,No,Low,ADJ-1043,Trainee,Team SouthTeam West,97.4,7.6
CLM-2025-00077,CNT-100077,CUST-65770,UT,Mountain,"$17,472.08 ",2/10/2025,2/11/2025,2/14/2025,4/4/2025,3,52,4,2.87,0,No,No,Medium,ADJ-1074,Standard,Team Team Central,84.8,5.8
CLM-2025-00078,CNT-100078,CUST-82878,CO,Mountain,"$6,463.94 ",1/9/2025,1/10/2025,1/11/2025,2/6/2025,1,27,5,3.42,1,Yes,No,Medium,ADJ-1054,,Team SouthTeam West,89.3,7.4
CLM-2025-00079,,CUST-62517,FL,Southeast,"$7,442.14 ",3/29/2025,3/31/2025,4/1/2025,4/19/2025,1,19,2,3.34,2,No,No,High,ADJ-1070,Standard,Team Team West,94.3,8.3
CLM-2025-00080,CNT-100080,CUST-48213,AZ,Southwest,"$43,229.22 ",12/27/2025,12/29/2025,12/31/2025,2/23/2026,2,56,8,2.51,2,No,No,Low,ADJ-1023,Standard,Team Team West,100,6.9
CLM-2025-00081,CNT-100081,CUST-52726,CA,West,"$2,446.89 ",9/30/2025,9/30/2025,10/2/2025,10/15/2025,2,15,4,3.16,0,No,No,Low,ADJ-1073,Standard,Team Gamma,90.4,7.4
CLM-2025-00082,CNT-100082,CUST-72338,IL,Midwest,"$22,090.56 ",2/9/2025,2/10/2025,2/12/2025,3/24/2025,2,42,4,2.61,0,No,No,Medium,ADJ-1047,Standard,Team Team Alpha,98.4,0
CLM-2025-00083,CNT-100083,CUST-92129,AZ,Southwest,"$5,238.71 ",6/1/2025,6/4/2025,6/5/2025,6/19/2025,1,15,4,2.33,0,No,No,Low,ADJ-1076,Specialist,Team Team Central,97.3,7.7
CLM-2025-00084,CNT-100084,CUST-72603,CA,West,"$6,877.27 ",8/15/2025,8/18/2025,8/19/2025,9/13/2025,1,26,5,,2,No,No,High,ADJ-1079,Senior,Team Team Central,96.5,7
CLM-2025-00085,CNT-100085,CUST-75706,NV,Southwest,"$1,718.06 ",12/12/2025,12/13/2025,12/13/2025,12/14/2025,0,1,3,,0,No,No,Low,ADJ-1002,Standard,Team Echo,94.4,6.2
CLM-2025-00086,CNT-100086,CUST-32234,TX,South Central,"$5,394.30 ",4/3/2025,4/6/2025,4/6/2025,4/29/2025,4,23,7,3.54,0,No,No,Medium,ADJ-1025,Standard,Team SouthTeam West,93.8,8.1
CLM-2025-00087,CNT-100087,CUST-13710,NV,Southwest,"$8,145.59 ",8/8/2025,8/12/2025,8/16/2025,10/1/2025,11,50,6,2.88,0,No,Yes,Low,ADJ-1022,Standard,Team Team Central,88,5.7
CLM-2025-00088,CNT-100088,CUST-26172,CA,West,"$3,273.48 ",9/30/2025,10/4/2025,10/6/2025,11/2/2025,2,29,6,3.63,0,No,No,,ADJ-1056,Senior,Team Echo,90.4,6
CLM-2025-00089,CNT-100089,CUST-23649,CA,West,"$4,706.25 ",11/15/2025,11/18/2025,11/20/2025,11/27/2025,2,9,3,5.59,1,No,No,Medium,ADJ-1024,Standard,Team Echo,94.8,4.6
CLM-2025-00090,CNT-100090,CUST-47336,CA,West,"$10,956.36 ",4/24/2025,4/27/2025,4/28/2025,5/24/2025,1,27,2,3.10,3,No,No,Low,ADJ-1003,Senior,Team Team Central,95.5,6.5
CLM-2025-00091,CNT-100091,CUST-84942,CO,Mountain,"$1,796.39 ",,2/22/2025,2/22/2025,2/26/2025,0,4,1,0.20,0,No,No,Low,ADJ-1070,Trainee,Team SouthTeam West,86.1,10
CLM-2025-00092,CNT-100092,CUST-51055,AZ,Southwest,"$4,377.94 ",4/13/2025,4/16/2025,4/17/2025,4/29/2025,1,13,2,2.32,0,No,,Low,ADJ-1076,Standard,Team Team Alpha,98.3,7.1
CLM-2025-00093,CNT-100093,CUST-23309,IL,Midwest,$806.37 ,7/25/2025,7/25/2025,7/25/2025,8/12/2025,0,18,3,5.34,0,No,No,Medium,ADJ-1053,Standard,Team Team Central,93.5,7
CLM-2025-00094,CNT-100094,CUST-67167,TX,South Central,"$3,594.01 ",2/28/2025,3/4/2025,3/5/2025,4/11/2025,1,38,8,4.30,0,No,No,Low,ADJ-1071,Trainee,Team Gamma,94.2,11
CLM-2025-00095,CNT-100095,CUST-17766,TX,South Central,"$7,372.07 ",,2/21/2025,2/23/2025,3/19/2025,2,26,6,3.65,0,No,No,Low,ADJ-1030,Trainee,Team Team Central,88.1,5.4
CLM-2025-00096,CNT-100096,CUST-99235,TX,South Central,"$1,397.57 ",11/8/2025,11/9/2025,11/11/2025,11/25/2025,2,16,4,5.85,1,No,No,Medium,ADJ-1080,Standard,Team SouthTeam West,97.7,6.4
CLM-2025-00097,CNT-100097,CUST-43921,TX,South Central,"$4,040.12 ",7/29/2025,7/30/2025,8/2/2025,N/A,3,31,5,3.75,0,No,Yes,Medium,ADJ-1068,Standard,Team Delta,82.9,5
CLM-2025-00098,CNT-100098,CUST-17596,OR,West,"$6,984.72 ",7/1/2025,7/2/2025,7/2/2025,7/22/2025,0,20,1,2.04,0,No,No,Low,ADJ-1056,Standard,Team Delta,92.1,7.6
CLM-2025-00099,CNT-100099,CUST-79928,CA,West,"$1,491.48 ",10/21/2025,10/24/2025,10/25/2025,10/29/2025,1,5,3,2.71,1,No,Yes,Low,ADJ-1022,Standard,Team Team Alpha,92.7,5.9
CLM-2025-00100,CNT-100100,CUST-77355,AZ,Southwest,"$6,615.18 ",5/17/2025,,5/18/2025,6/16/2025,1,30,5,1.70,0,No,No,Low,ADJ-1050,Standard,Team Delta,95.7,N/A
CLM-2025-00101,CNT-100101,CUST-32499,AZ,Southwest,"$1,193.93 ",4/12/2025,4/14/2025,4/15/2025,4/20/2025,1,6,1,3.39,0,No,Yes,Low,ADJ-1011,Senior,Team Gamma,96.1,7.3
CLM-2025-00102,CNT-100102,CUST-12581,NM,Southwest,"$67,140.20 ",4/16/2025,4/19/2025,4/21/2025,7/6/2025,2,78,8,3.66,3,No,No,High,ADJ-1042,Standard,Team SouthTeam West,90.7,6.7
CLM-2025-00103,CNT-100103,CUST-72359,GA,Southeast,"$7,841.74 ",11/8/2025,11/10/2025,11/12/2025,11/28/2025,2,18,3,2.06,1,No,No,Low,ADJ-1066,Senior,Team Team Alpha,94.4,
CLM-2025-00104,CNT-100104,CUST-51687,TX,South Central,"$7,116.14 ",3/23/2025,3/26/2025,3/28/2025,4/18/2025,2,23,5,4.29,0,No,No,Low,ADJ-1079,Senior,Team Team Central,92.4,6.8
CLM-2025-00105,CNT-100105,CUST-43011,AZ,Southwest,"$5,944.76 ",3/11/2025,3/11/2025,3/11/2025,4/3/2025,0,23,4,2.58,0,No,No,Low,ADJ-1008,Standard,Team Delta,98.6,8.4
CLM-2025-00106,CNT-100106,CUST-80576,FL,Southeast,"$6,037.18 ",6/2/2025,N/A,6/3/2025,6/22/2025,1,20,2,3.03,0,No,No,Low,ADJ-1034,Standard,Team Beta,93.6,6.7
CLM-2025-00107,CNT-100107,CUST-49935,CA,West,$577.04 ,5/5/2025,5/8/2025,5/10/2025,5/19/2025,2,11,4,4.89,0,No,No,Medium,ADJ-1077,Trainee,Team Team Central,96,4.6
CLM-2025-00108,CNT-100108,CUST-96639,AZ,Southwest,$464.33 ,7/19/2025,7/19/2025,7/19/2025,8/3/2025,0,-15,2,2.09,0,No,No,Low,ADJ-1035,Senior,Team Gamma,86.5,7.2
CLM-2025-00070,CNT-100109,CUST-38499,TX,South Central,"$58,157.69 ",7/10/2025,7/12/2025,7/15/2025,9/1/2025,3,51,8,5.11,0,,No,High,ADJ-1036,Senior,Team Gamma,86.8,5.6
CLM-2025-00110,CNT-100110,CUST-92910,OR,West,"$2,077.34 ",11/27/2025,11/28/2025,12/1/2025,12/10/2025,-3,12,6,3.36,0,No,No,Medium,ADJ-1015,Senior,Team Team Central,87.3,6.7
CLM-2025-00111,CNT-100111,CUST-14307,CA,West,"$16,854.84 ",4/21/2025,4/22/2025,4/25/2025,6/8/2025,3 days,47,8,4.43,2,No,No,Low,ADJ-1040,Standard,Team Delta,91.8,4.7
CLM-2025-00112,CNT-100112,CUST-22624,CA,West,"$2,105.55 ",10/24/2025,10/25/2025,10/27/2025,11/4/2025,2,10,6,5.36,1,No,No,Medium,ADJ-1014,Standard,Team Team Central,97.3,6.2
CLM-2025-00113,CNT-100113,CUST-16506,CO,Mountain,"$1,424.96 ",9/8/2025,9/12/2025,9/14/2025,10/4/2025,2,22,2,6.00,1,No,Yes,Medium,ADJ-1029,Standard,Team Team Central,86.4,6.7
CLM-2025-00114,CNT-100114,CUST-38835,WA,West,$882.13 ,7/30/2025,8/1/2025,8/2/2025,8/4/2025,8,3,3,3.14,0,No,Yes,Medium,ADJ-1038,Specialist,Team SouthTeam West,93.7,6.5
CLM-2025-00115,CNT-100115,CUST-82204,CA,West,$885.73 ,8/10/2025,8/10/2025,8/12/2025,8/26/2025,2,16,3,4.68,0,No,No,Low,ADJ-1040,Senior,Team Team Alpha,93.7,6.6
CLM-2025-00116,CNT-100116,CUST-29057,WA,West,$832.83 ,3/28/2025,3/28/2025,3/30/2025,,2,24,1,3.36,2,No,No,Medium,ADJ-1054,Standard,Team Beta,88.7,8
CLM-2025-00117,CNT-100117,CUST-99793,OR,West,"$2,442.35 ",2/17/2025,2/17/2025,2/18/2025,3/2/2025,1,13,3,2.45,0,No,No,Medium,ADJ-1013,Senior,Team Echo,100,7.3
CLM-2025-00118,CNT-100118,CUST-76272,NV,Southwest,"$3,226.98 ",6/9/2025,6/9/2025,6/9/2025,6/26/2025,-3,17,2,2.84,0,No,No,Medium,ADJ-1035,Senior,Team Team West,94,9.6
CLM-2025-00119,CNT-100119,CUST-69315,CO,,"$4,906.99 ",2/2/2025,2/3/2025,2/3/2025,3/5/2025,0,30,3,3.86,0,No,No,Low,ADJ-1047,Senior,Team Team Alpha,100,7.8
